product_id,description,unit_price,unit_original_price,unit_min_price,details,logo_url,mercado,uf,city,neighborhood,merchant_id
91ea979c-eded-4f0d-b132-fc28c7fcb9bc,Leite em Pó Integral Betânia 750g,31.31,,31.31,Embalagem 750g,820af392-002c-47b1-bfae-d7ef31743c7f/202304171400_bdt122fq1eh.jpg,Centerbox José Bastos - Express,CE,Fortaleza,Jacarecanga,f97e40aa-879f-42aa-b507-74a286a8506a
f9465678-0ac3-459f-9e90-c869fa61c527,Leite em Pó Integral Camponesa 1kg,41.03,,41.03,Embalagem 1kg,820af392-002c-47b1-bfae-d7ef31743c7f/202307271314_pkgwx83e4r.jpg,Centerbox José Bastos - Express,CE,Fortaleza,Jacarecanga,f97e40aa-879f-42aa-b507-74a286a8506a
ae8340b0-411f-4c58-b139-f9925c5e26e8,Leite em Pó Integral Camponesa 200g,8.41,,8.41,Embalagem 200g,820af392-002c-47b1-bfae-d7ef31743c7f/202308041724_dd4p0xgre1h.jpg,Centerbox José Bastos - Express,CE,Fortaleza,Jacarecanga,f97e40aa-879f-42aa-b507-74a286a8506a
e39bc8d0-0a8d-493e-9381-69c3eab6a28e,Leite em Pó Integral Camponesa 750g,32.39,,32.39,Embalagem 750g,820af392-002c-47b1-bfae-d7ef31743c7f/202503061752_adfwr26lsbu.png,Centerbox José Bastos - Express,CE,Fortaleza,Jacarecanga,f97e40aa-879f-42aa-b507-74a286a8506a
c56932ea-2b8f-45ee-b5c5-77b14174d822,Leite em Pó Desnatado Camponesa 200g,8.08,,8.08,Embalagem 200g,820af392-002c-47b1-bfae-d7ef31743c7f/202307061037_764q5v67n9g.jpg,Novo Atacarejo - Várzea,PE,Jaboatão dos Guararapes,Três Carneiros,2ed94d33-9452-4ee8-a683-e6e2108cf07d
dfa3935b-b1b7-41c2-b086-9455277916a8,Leite em Pó Instantâneo Camponesa 200g,8.08,,8.08,Embalagem 200g,820af392-002c-47b1-bfae-d7ef31743c7f/202307061022_7e88b0do4cc.jpg,Novo Atacarejo - Várzea,PE,Jaboatão dos Guararapes,Três Carneiros,2ed94d33-9452-4ee8-a683-e6e2108cf07d
99c22ed7-7a7d-4bed-b0c8-72f4fbc7ad98,Leite em Pó Integral Betânia 200g,7.40,,7.40,Embalagem 200g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180100_q9ga2jz0uy7.jpg,Novo Atacarejo - Várzea,PE,Jaboatão dos Guararapes,Três Carneiros,2ed94d33-9452-4ee8-a683-e6e2108cf07d
f015f4f7-ceb2-4ad9-95b9-61268c290a8e,Leite em Pó Integral Camponesa 200g,8.08,,8.08,Embalagem 200g,820af392-002c-47b1-bfae-d7ef31743c7f/202308041724_dd4p0xgre1h.jpg,Novo Atacarejo - Várzea,PE,Jaboatão dos Guararapes,Três Carneiros,2ed94d33-9452-4ee8-a683-e6e2108cf07d
98bca735-4452-4c6e-b1ef-290e955b0138,Leite Uht Integral Camponesa Caixa 1l,4.95,,4.95,Caixa 1l,820af392-002c-47b1-bfae-d7ef31743c7f/202307061034_65r6u57z4h8.jpg,Atacadão - Betim,MG,Betim,Chácaras,242eed33-0dad-4a16-8938-a35f8296d691
1f77929a-d6df-4ace-98e8-5ef940a3a965,Leite Uht Integral Zero Lactose Camponesa 1l,5.92,,5.92,Caixa 1l,820af392-002c-47b1-bfae-d7ef31743c7f/202411181214_i5dbxfhul4c.jpeg,Atacadão - Betim,MG,Betim,Chácaras,242eed33-0dad-4a16-8938-a35f8296d691
